MatchCode,Format,Week,Time,Player,Result,n_matches,n_wins,n_losses,last_match,Score,weeks_in_league,team_league
AFR1093,AFR,1,2021-07-19T14:25:36Z,Gordon C,Win,5,1,4,FALSE,2-1,6,FALSE
AFR1093,AFR,1,2021-07-19T14:25:36Z,Eric S,Loss,5,1,4,FALSE,2-1,6,FALSE
AFR1094,AFR,1,2021-07-19T15:39:47Z,Michael M,Win,3,2,1,FALSE,2-1,6,FALSE
AFR1094,AFR,1,2021-07-19T15:39:47Z,Angus M,Loss,2,0,2,FALSE,2-1,6,FALSE
AFR1095,AFR,1,2021-07-19T18:02:13Z,Angus M,Win,3,1,2,FALSE,2-0,6,FALSE
AFR1095,AFR,1,2021-07-19T18:02:13Z,Duran V,Loss,1,0,1,FALSE,2-0,6,FALSE
AFR1096,AFR,1,2021-07-19T21:06:24Z,Evan W,Win,4,1,3,FALSE,2-0,6,FALSE
AFR1096,AFR,1,2021-07-19T21:06:24Z,Mitch S,Loss,2,0,2,FALSE,2-0,6,FALSE
AFR1097,AFR,1,2021-07-19T23:28:05Z,Evan W,Win,5,2,3,FALSE,2-1,6,FALSE
AFR1097,AFR,1,2021-07-19T23:28:05Z,Angus M,Loss,4,1,3,FALSE,2-1,6,FALSE
AFR1098,AFR,1,2021-07-19T23:37:29Z,Mitch S,Win,3,1,2,FALSE,2-0,6,FALSE
AFR1098,AFR,1,2021-07-19T23:37:29Z,Paul S,Loss,3,0,3,FALSE,2-0,6,FALSE
AFR1099,AFR,1,2021-07-20T10:39:22Z,Austin C,Win,4,3,1,FALSE,2-0,6,FALSE
AFR1099,AFR,1,2021-07-20T10:39:22Z,Zach C,Loss,1,0,1,FALSE,2-0,6,FALSE
AFR1100,AFR,1,2021-07-20T11:26:34Z,Ben A,Win,4,1,3,FALSE,2-1,6,FALSE
AFR1100,AFR,1,2021-07-20T11:26:34Z,Zach C,Loss,2,0,2,FALSE,2-1,6,FALSE
AFR1101,AFR,1,2021-07-20T12:51:54Z,Zach C,Win,3,1,2,FALSE,2-1,6,FALSE
AFR1101,AFR,1,2021-07-20T12:51:54Z,Michael M,Loss,4,2,2,FALSE,2-1,6,FALSE
AFR1102,AFR,1,2021-07-20T18:24:33Z,Keith S,Win,1,1,0,FALSE,2-0,6,FALSE
AFR1102,AFR,1,2021-07-20T18:24:33Z,Wayne B,Loss,1,0,1,FALSE,2-0,6,FALSE
AFR1103,AFR,1,2021-07-20T18:29:22Z,Lueder L,Win,4,2,2,FALSE,2-0,6,FALSE
AFR1103,AFR,1,2021-07-20T18:29:22Z,Rick N,Loss,1,0,1,FALSE,2-0,6,FALSE
AFR1104,AFR,1,2021-07-20T19:12:16Z,Brice C,Win,1,1,0,FALSE,2-1,6,FALSE
AFR1104,AFR,1,2021-07-20T19:12:16Z,Keith S,Loss,2,1,1,FALSE,2-1,6,FALSE
AFR1105,AFR,1,2021-07-20T19:13:36Z,Brice C,Win,2,2,0,FALSE,2-1,6,FALSE
AFR1105,AFR,1,2021-07-20T19:13:36Z,Wayne B,Loss,2,0,2,FALSE,2-1,6,FALSE
AFR1106,AFR,1,2021-07-20T20:19:33Z,John P,Win,1,1,0,FALSE,2-0,6,FALSE
AFR1106,AFR,1,2021-07-20T20:19:33Z,Keith S,Loss,3,1,2,FALSE,2-0,6,FALSE
AFR1107,AFR,1,2021-07-20T20:58:51Z,Keith S,Win,4,2,2,FALSE,2-1,6,FALSE
AFR1107,AFR,1,2021-07-20T20:58:51Z,Cameron K,Loss,1,0,1,FALSE,2-1,6,FALSE
AFR1108,AFR,1,2021-07-20T21:28:45Z,Keith S,Win,5,3,2,FALSE,2-0,6,FALSE
AFR1108,AFR,1,2021-07-20T21:28:45Z,Trevor H,Loss,1,0,1,FALSE,2-0,6,FALSE
AFR1109,AFR,1,2021-07-20T23:25:33Z,Zach C,Win,4,2,2,FALSE,2-1,6,FALSE
AFR1109,AFR,1,2021-07-20T23:25:33Z,John P,Loss,2,1,1,FALSE,2-1,6,FALSE
AFR1110,AFR,1,2021-07-21T10:16:20Z,Ken M,Win,3,1,2,FALSE,2-0,6,FALSE
AFR1110,AFR,1,2021-07-21T10:16:20Z,Michael M,Loss,5,2,3,FALSE,2-0,6,FALSE
AFR1111,AFR,1,2021-07-21T11:07:04Z,Richard K,Win,4,3,1,FALSE,2-1,6,FALSE
AFR1111,AFR,1,2021-07-21T11:07:04Z,Austin C,Loss,5,3,2,FALSE,2-1,6,FALSE
AFR1112,AFR,1,2021-07-21T13:15:40Z,Nick L,Win,1,1,0,FALSE,2-0,6,FALSE
AFR1112,AFR,1,2021-07-21T13:15:40Z,Trevor H,Loss,2,0,2,FALSE,2-0,6,FALSE
AFR1113,AFR,1,2021-07-21T13:53:01Z,Nick L,Win,2,2,0,FALSE,2-0,6,FALSE
AFR1113,AFR,1,2021-07-21T13:53:01Z,John P,Loss,3,1,2,FALSE,2-0,6,FALSE
AFR1114,AFR,1,2021-07-21T16:16:05Z,Zach C,Win,5,3,2,FALSE,2-0,6,FALSE
AFR1114,AFR,1,2021-07-21T16:16:05Z,Trevor H,Loss,3,0,3,FALSE,2-0,6,FALSE
AFR1115,AFR,1,2021-07-21T18:23:50Z,Ken M,Win,4,2,2,FALSE,2-0,6,FALSE
AFR1115,AFR,1,2021-07-21T18:23:50Z,Wayne B,Loss,3,0,3,FALSE,2-0,6,FALSE
AFR1116,AFR,1,2021-07-21T18:49:02Z,Wayne B,Win,4,1,3,FALSE,2-1,6,FALSE
AFR1116,AFR,1,2021-07-21T18:49:02Z,Mitch S,Loss,4,1,3,FALSE,2-1,6,FALSE
AFR1117,AFR,1,2021-07-21T19:23:35Z,Mitch S,Win,5,2,3,FALSE,2-0,6,FALSE
AFR1117,AFR,1,2021-07-21T19:23:35Z,Kevin O,Loss,3,1,2,FALSE,2-0,6,FALSE
