Timestamp,Winner Name,Loser Name,Result,Punishment Pack,Pack Generated,Notes,Winner Colour Pair,Loser Colour Pair,Punishment Pack,,Punishment Pack choice?
6/26/2023 22:27:57,Chris Y - Yorke on Games#66909,Doug D - dougnukem#51899,2-0,,1,ONE RING!,,,,,
6/26/2023 22:37:32,Adam S - wizma#29010,John R - Ged#72302,2-1,,1,Good games!,,,,,
6/26/2023 23:18:50,Chris Y - Yorke on Games#66909,Drake M - KoMODO#43282,2-1,,1,ONE RING!!,,,,,
6/26/2023 23:27:33,Jacob V - Drysle#29533,Doug D - dougnukem#51899,2-0,,1,,,,,,
6/26/2023 23:56:22,Johnny M - Johnny#69519,Jacob V - Drysle#29533,2-1,,1,,,,,,
6/27/2023 0:53:46,Mitchel S - SpaghettiMitch#18619,Chris Y - Yorke on Games#66909,2-0,,1,,,,,,
6/27/2023 0:54:00,Trevor F - treskies#75643,Doug D - dougnukem#51899,2-0,,1,,,,,,
6/27/2023 1:45:10,Sawyer T - soyboy#35469,Trevor F - treskies#75643,2-1,,1,,,,,,
6/27/2023 11:20:12,Rafael F - Prudent#24319,Eric S - Smitte#94855,2-0,,1,,,,,,
6/27/2023 15:46:27,Jordan M - JMTron#46639,Wyatt C - hotdolphin#30769,2-1,,1,,,,,,
6/27/2023 16:03:16,Eric S - Smitte#94855,Lotte P - Lotte #93345,2-1,,1,,,,,,
6/27/2023 16:30:42,Jordan M - JMTron#46639,Lotte P - Lotte #93345,2-0,,1,,,,,,
6/27/2023 19:22:28,Rafael F - Prudent#24319,Evan C - PeasOfCrab#00133,2-0,,1,,,,,,
6/27/2023 21:24:07,Mike P - unwieldybiscuit#26471,Grey H - grensley#29260,2-1,,1,,,,,,
6/27/2023 22:09:35,Trevor F - treskies#75643,Evan C - PeasOfCrab#00133,2-1,,1,,,,,,
6/27/2023 22:30:12,Sawyer T - soyboy#35469,Evan C - PeasOfCrab#00133,2-0,,1,,,,,,
6/27/2023 22:32:40,Sean Sp - Talrand#06333,Mike P - unwieldybiscuit#26471,2-1,,1,,,,,,
6/27/2023 22:51:15,Rafael F - Prudent#24319,Trevor F - treskies#75643,2-0,,1,Tight games,,,,,
