Timestamp,Winner Name,Loser Name,Result,Punishment Pack,Pack Generated,Notes,,Punishment Pack choice?
1/9/2023 22:03:53,Tony G - YnotRock#76764,Michael M - Atombomb11991#07305,2-0,,1,,,
1/9/2023 22:26:26,Dan A - BEATDOWNBRINGA#04779,Cody-Rayce MG - Rayce#56572,2-1,,1,,,
1/9/2023 22:59:19,Côme S - C_SM#79564,Johnny M - Johnny#69519,2-1,,1,good game,,
1/10/2023 14:21:46,Côme S - C_SM#79564,Paul S - YungChunk#45977,2-0,,1,good game,,
1/10/2023 15:28:06,Paul S - YungChunk#45977,Warren M - LinkThePlaneswalker33#61905,2-0,,1,,,
1/10/2023 17:53:59,Christopher S - Stemz#96067,Nicholas P - Ami3vil?#84889,2-0,,1,gg,,
1/10/2023 18:30:56,Chris R - Sinkwater#27508,Mike P - UnwieldyBiscuit#26471,2-0,,1,,,
1/10/2023 18:36:03,Nicholas P - Ami3vil?#84889,Andrew H - hopnertz#98617,2-0,,1,GGs!,,
1/10/2023 19:33:57,Paul S - YungChunk#45977,Andrew H - hopnertz#98617,2-1,,1,,,
1/10/2023 20:02:56,Johnny M - Johnny#69519,Justin P - Code Pigeon#84057,2-0,,1,,,
1/10/2023 20:21:27,Ryan D - TheSlickness#10857,Andrew H - hopnertz#98617,2-0,,1,,,
1/10/2023 20:56:58,Chris R - Sinkwater#27508,Hugo D - HDila#61011,2-1,,1,,,
1/10/2023 21:16:12,Shawn R - chuckygr#53420,Noel S - Stopgap#13873,2-1,,1,,,
1/10/2023 22:08:58,Andrew H - hopnertz#98617,Jaidin M - MnemonicDevice#38774,2-1,,1,GGs - Grindy,,
1/10/2023 23:49:18,Jaidin M - MnemonicDevice#38774,Christopher S - Stemz#96067,2-1,,1,,,
1/11/2023 15:23:06,Jaidin M - MnemonicDevice#38774,Ryland B - Sabre#8973,2-0,,1,Gauntlet Griffin = GG,,
1/11/2023 19:19:30,Richard K - preacher26#59445,Michael M - Atombomb11991#07305,2-1,,1,,,
