Timestamp,Winner Name,Loser Name,Result,Punishment Pack,Pack Generated,Notes,Punishment Pack,,Punishment Pack choice?
6/8/2023 0:51:08,Dustin D - Bloone#16018,Daniel G - FriskyHobbit#43185,2-1,,1,,,,
6/8/2023 0:58:45,Maxime R - Tasigurr#89921,Shane S - Master Shane#35185,2-1,,1,,,,
6/8/2023 2:49:17,Jaidin M - MnemonicDevice#38774,Johnny M - Johnny#69519,2-1,,1,Classic NEO value engine mirror match,,,
6/8/2023 15:01:03,Sawyer T - soyboy#35469,Dustin D - Bloone#16018,2-0,,1,,,,
6/8/2023 15:55:08,Jaidin M - MnemonicDevice#38774,Ryan D - TheSlickness#10857,2-0,,1,A timely fall,,,
6/8/2023 16:19:53,Dan A - BEATDOWNBRINGA#04779,Darwin K - darwhims#52188,2-0,,1,,,,
6/8/2023 17:00:28,Jaidin M - MnemonicDevice#38774,Chris Y - Yorke on Games#66909,2-1,,1,Time crunch is real,,,
6/8/2023 17:15:58,Dan A - BEATDOWNBRINGA#04779,Reed P - bigfingsnake#86869,2-1,,1,,,,
6/8/2023 17:38:26,Joaquin E - DiabolicMachine#23891,Dan A - BEATDOWNBRINGA#04779,2-0,,1,,,,
6/8/2023 18:50:24,Chris R - Sinkwater#27508,Caleb G - Whynaut#28590,2-0,,1,,,,
6/8/2023 19:37:47,Reed P - bigfingsnake#86869,Damian S - ButCrackMagic#71223,2-0,,1,,,,
6/8/2023 20:54:23,Michael M - Atombomb11991#07305,Tim S - Tim Throw#47106,2-1,,1,,,,
6/8/2023 21:26:33,Joaquin E - DiabolicMachine#23891,Damian S - ButCrackMagic#71223,2-1,,1,,,,
6/8/2023 21:49:24,Jordan M - JMTron#46639,Tim S - Tim Throw#47106,2-0,,1,,,,
6/8/2023 22:59:29,Tony G - YnotRock#76764,Michael M - Atombomb11991#07305,2-0,,1,,,,
6/8/2023 23:26:19,Adam S - wizma#29010,Connor H - Clhis#08294,2-1,,1,Welcome to the League!,,,
6/8/2023 23:30:57,Tony G - YnotRock#76764,Drake M - KoMODO#43282,2-0,,1,,,,
6/9/2023 0:11:20,Rafael F - Prudent#24319,James S - TortillaThePun#11942,2-1,,1,,,,
6/9/2023 0:39:03,Connor H - Clhis#08294,Dustin D - Bloone#16018,2-1,,1,,,,
6/9/2023 0:58:32,Tim S - Tim Throw#47106,James S - TortillaThePun#11942,2-1,,1,,,,
6/9/2023 12:06:48,Cody-Rayce MG - Rayce#56572,Wyatt C - hotdolphin#30769,2-1,,1,ggs wp,,,
6/9/2023 12:32:05,Darwin K - darwhims#52188,Lee B - MagicMorningBrew#76946,2-1,,1,,,,
6/9/2023 13:17:26,Lee B - MagicMorningBrew#76946,Tony G - YnotRock#76764,2-1,,1,,,,
6/9/2023 14:31:44,Connor H - Clhis#08294,Darwin K - darwhims#52188,2-1,,1,,,,
6/9/2023 17:27:47,Connor H - Clhis#08294,Paul G - TheDragon#61289,2-0,,1,,,,
6/9/2023 21:29:25,Tony G - YnotRock#76764,Kevin I - kni1993#29285,2-0,,1,,,,
6/10/2023 14:50:12,Philip B - Plipster#75000,Wyatt C - hotdolphin#30769,2-1,,1,,,,
6/10/2023 18:19:57,Deven W - Deven#51146,Trevor F - treskies#75643,2-0,,1,,,,
