Timestamp,Winner Name,Loser Name,Result,Punishment Pack,Pack Generated,Notes,,Punishment Pack choice?
4/3/2023 17:53:14,Evan C - PeasOfCrab#00133,Ivan F - Draivanhoe#31021,2-0,,1,,,
4/3/2023 17:54:03,Shuo L - Tamamo#30654,Troy R - Pengwin#05127,2-0,,1,,,
4/3/2023 18:03:31,Zeke W - smarmyplatapus#30066,Doug Co - daceris#24713,2-1,,1,ggs!,,
4/3/2023 18:56:07,Zeke W - smarmyplatapus#30066,Eric S - Smitte#94855,2-1,,1,,,
4/3/2023 19:43:14,Zeke W - smarmyplatapus#30066,Phillip M - Fat_kitty#63794,2-1,,1,,,
4/3/2023 20:35:02,Phillip M - Fat_kitty#63794,Michael M - Atombomb11991#07305,2-1,,1,,,
4/3/2023 21:30:41,Michael M - Atombomb11991#07305,Chris R - Sinkwater#27508,2-0,,1,,,
4/3/2023 23:26:42,Ryan D - TheSlickness#10857,Rafael F - Prudent#24319,2-1,,1,,,
4/4/2023 0:00:20,Damian S - ButCrackMagic#71223,Mitchel S - SpaghettiMitch#18619,2-0,,1,,,
4/4/2023 14:43:37,Chris P - Joker01#66827,Shuo L - Tamamo#30654,2-1,,1,,,
4/4/2023 15:39:30,Jordan M - JMTron#46639,Shane K - malfunktion#31013,2-1,,1,,,
4/4/2023 17:52:11,Damian S - ButCrackMagic#71223,Serge T - Sergyboy514#39979,2-1,,1,,,
4/4/2023 18:33:15,Ryan D - TheSlickness#10857,Jake C - The_man_mulcahey#74753,2-1,,1,,,
4/4/2023 19:31:11,Daniel G - FriskyHobbit#43185,Christopher G - oompaloompa#65002,2-0,,1,,,
4/4/2023 22:47:35,Mitchel S - SpaghettiMitch#18619,Marcel D - Garry#84496,2-0,,1,,,
4/4/2023 23:03:15,Tony G - YnotRock#76764,Ryan D - TheSlickness#10857,2-0,,1,Ggs,,
4/5/2023 0:14:38,Tony G - YnotRock#76764,Zeke W - smarmyplatapus#30066,2-1,,1,,,
4/5/2023 0:47:46,Noah B - Sisco#71800,Jake C - The_man_mulcahey#74753,2-1,,1,GGs,,
4/5/2023 1:41:05,Jake C - The_man_mulcahey#74753,Mitchel S - SpaghettiMitch#18619,2-0,,1,,,
4/5/2023 15:12:40,Josh G - MrDoops#24495,Jake C - The_man_mulcahey#74753,2-0,,1,,,
4/5/2023 17:53:19,Chris R - Sinkwater#27508,Jordan M - JMTron#46639,2-0,,1,,,
4/5/2023 19:53:32,Maranda L - BlackCanary#59791,Chris R - Sinkwater#27508,2-1,,1,,,
4/5/2023 22:02:42,Maranda L - BlackCanary#59791,Will K - Goombill#60657,2-0,,1,,,
4/5/2023 22:27:28,Mitchel S - SpaghettiMitch#18619,Christopher G - oompaloompa#65002,2-0,,1,,,
4/6/2023 0:22:53,Jordan M - JMTron#46639,Tony G - YnotRock#76764,2-1,,1,,,
4/6/2023 15:54:55,Chris P - Joker01#66827,Doug Co - daceris#24713,2-0,,1,,,
4/6/2023 17:20:46,Shuo L - Tamamo#30654,Shane K - malfunktion#31013,2-0,,1,,,
4/6/2023 19:00:50,Emmett F - Sepulchure#51526,Deseo C - StandoPow3r#13414,2-1,,1,,,
4/6/2023 19:19:01,Michael M - Atombomb11991#07305,Jaidin M - MnemonicDevice#38774,2-0,,1,,,
4/6/2023 19:37:47,Trevor F - treskies#75643,Emmett F - Sepulchure#51526,2-0,,1,,,
4/6/2023 19:56:20,Jaidin M - MnemonicDevice#38774,Will K - Goombill#60657,2-1,,1,,,
4/6/2023 20:04:50,Trevor F - treskies#75643,Deseo C - StandoPow3r#13414,2-0,,1,,,
4/6/2023 20:39:08,Trevor F - treskies#75643,Dan K - Fizishy#82483,2-1,,1,,,
4/6/2023 21:48:06,Christopher G - oompaloompa#65002,Dan K - Fizishy#82483,2-0,,1,,,
4/6/2023 22:15:16,Mitchel S - SpaghettiMitch#18619,Trevor F - treskies#75643,2-1,,1,,,
4/6/2023 23:04:58,Phillip M - Fat_kitty#63794,Will K - Goombill#60657,2-0,,1,,,
4/7/2023 0:02:16,Deseo C - StandoPow3r#13414,Tony G - YnotRock#76764,2-0,,1,,,
4/7/2023 10:44:32,Serge T - Sergyboy514#39979,Josh G - MrDoops#24495,2-0,,1,,,
4/7/2023 10:44:52,Chris R - Sinkwater#27508,Daniel M - HPWizard#40332,2-0,,1,,,
4/7/2023 13:43:25,Adam S - wizma#29010,Marcel D - Garry#84496,2-1,,1,Good games!,,
4/7/2023 14:15:34,Jaidin M - MnemonicDevice#38774,Marcel D - Garry#84496,2-0,,1,ggs!,,
4/7/2023 15:43:04,Serge T - Sergyboy514#39979,Richard K - preacher26#59445,2-1,,1,,,
4/7/2023 16:59:17,Doug Co - daceris#24713,John R - Ged#72302,2-1,,1,,,
4/7/2023 17:41:54,John P - gokuorgohome#51511,Damian S - ButCrackMagic#71223,2-1,,1,,,
