Timestamp,Winner Name,Loser Name,Result,Punishment Pack,Pack Generated,Notes,Punishment Pack,,Punishment Pack choice?
4/22/2023 14:11:09,Kevin I - kni1993#29285,Wesley K - weslars#49889,2-1,,1,Ggs,MOM,,
4/22/2023 14:39:09,Pedro D - Goombassa#17203,Jacob V - Drysle#29533,2-1,,1,GGs,MOM,,
4/22/2023 15:11:06,Wesley K - weslars#49889,Daniel G - FriskyHobbit#43185,2-1,,1,,MOM,,
4/22/2023 15:21:06,Richard K - preacher26#59445,Pedro D - Goombassa#17203,2-0,,1,,GRN,,
4/22/2023 15:43:44,Daniel G - FriskyHobbit#43185,Thaddeus G - uncapitalized#64977,2-0,,1,,MOM,,
4/22/2023 16:02:12,Jeremy E - Lhurgoyf#37289,John P - gokuorgohome#51511,2-0,,1,ggs john!,MOM,,
4/22/2023 16:28:47,Wesley K - weslars#49889,Jacob V - Drysle#29533,2-1,,1,,MOM,,
4/22/2023 17:05:29,Daniel G - FriskyHobbit#43185,John P - gokuorgohome#51511,2-1,,1,,MOM,,
4/22/2023 17:08:45,Warren M - LinkThePlaneswalker33#61905,Nik S - njsiii#50504,2-0,,1,,MOM,,
4/22/2023 17:23:51,Adam S - wizma#29010,Bill D - Cato Phoenix#70805,2-0,,1,Good games!,MOM,,
4/22/2023 17:25:55,Jacob V - Drysle#29533,Joe T - elasticity#07466,2-0,,1,,MOM,,
4/22/2023 17:26:13,Aus Z - ImperialPlaneswalker#40420,Reed P - bigfingsnake#86869,2-0,,1,,MOM,,
4/22/2023 17:36:04,John P - gokuorgohome#51511,Nik S - njsiii#50504,2-0,,1,,MOM,,
4/22/2023 17:41:11,Jacob V - Drysle#29533,Aus Z - ImperialPlaneswalker#40420,2-0,,1,,MOM,,
4/22/2023 17:59:26,Nik S - njsiii#50504,Aaron H - UlamogOurSaviour#56444,2-0,,1,,WAR,,
4/22/2023 18:03:03,Mitchel S - SpaghettiMitch#18619,Joe T - elasticity#07466,2-0,,1,,MOM,,
4/22/2023 18:25:07,Aus Z - ImperialPlaneswalker#40420,Bill D - Cato Phoenix#70805,2-1,,1,,IKO,,
4/22/2023 18:27:53,Daniel G - FriskyHobbit#43185,Nik S - njsiii#50504,2-1,,1,Sry bout the mull to 5,MOM,,
4/22/2023 19:26:06,John P - gokuorgohome#51511,Bill D - Cato Phoenix#70805,2-1,,1,,IKO,,
4/22/2023 19:35:10,Warren M - LinkThePlaneswalker33#61905,Zeke W - smarmyplatapus#30066,2-0,,1,,STX,,
4/22/2023 19:53:23,Reed P - bigfingsnake#86869,Russell S - rstad#89052,2-0,,1,,MOM,,
4/22/2023 20:23:18,Noah B - Sisco#71800,Reed P - bigfingsnake#86869,2-0,,1,,MOM,,
