Timestamp,Winner Name,Loser Name,Result,Punishment Pack,Pack Generated,Notes,Punishment Pack,,Winner Colour Pair,Loser Colour Pair,Punishment Pack,,Punishment Pack choice?
10/22/2023 17:54:18,Thijn H - Thi-Jin#83537,Mitchel S - SpaghettiMitch#18619,2-1,,1,,,,,,,,
10/22/2023 18:11:42,David Z - zyqxD#77167,Thijn H - Thi-Jin#83537,2-0,,1,GGs!,,,,,,,
10/22/2023 19:55:35,Jaidin M - MnemonicDevice#38774,John R - Ged#72302,2-0,,1,,,,,,,,
10/22/2023 20:46:59,Eric S - Smitte#94855,Caleb G - Whynaut#28590,2-1,,1,,,,,,,,
10/22/2023 21:02:57,Sawyer T - soyboy#35469,John R - Ged#72302,2-1,,1,,,,,,,,
10/22/2023 22:03:59,Sawyer T - soyboy#35469,Emmett F - Sepulchure#51526,2-1,,1,,,,,,,,
10/22/2023 23:22:21,Emmett F - Sepulchure#51526,Jeremy E - Lhurgoyf#37289,2-0,,1,,,,,,,,
10/23/2023 0:16:26,Dan A - BEATDOWNBRINGA#04779,Jeremy E - Lhurgoyf#37289,2-0,,1,,,,,,,,
10/23/2023 1:01:55,Emmett F - Sepulchure#51526,Sylvain T - Iquitos#15484,2-1,,1,,,,,,,,
10/23/2023 1:02:58,Chris Y - Yorke on Games#66909,Phillip M - Fat_kitty#63794,2-1,,1,MOM pack!,,,,,,,
10/23/2023 1:32:27,Sawyer T - soyboy#35469,Caleb G - Whynaut#28590,2-0,,1,,,,,,,,
10/23/2023 9:29:44,John P - gokuorgohome#51511,Sylvain T - Iquitos#15484,2-0,,1,,,,,,,,
10/23/2023 11:25:02,Jaidin M - MnemonicDevice#38774,John P - gokuorgohome#51511,2-1,,1,,,,,,,,
10/23/2023 11:44:40,Jaidin M - MnemonicDevice#38774,Eric S - Smitte#94855,2-1,,1,,,,,,,,
10/23/2023 13:20:49,John P - gokuorgohome#51511,Eric S - Smitte#94855,2-1,,1,,,,,,,,
10/23/2023 15:44:39,Noah B - Sisco#71800,John P - gokuorgohome#51511,2-1,,1,,,,,,,,
10/23/2023 17:37:42,Caleb G - Whynaut#28590,Dan A - BEATDOWNBRINGA#04779,2-1,,1,Jace Plz,,,,,,,
10/23/2023 17:43:18,Jordan M - JMTron#46639,John P - gokuorgohome#51511,2-0,,1,,,,,,,,
10/23/2023 18:22:41,Noah B - Sisco#71800,Chris R - Sinkwater#27508,2-0,,1,,,,,,,,
10/23/2023 18:30:04,Caleb G - Whynaut#28590,Wei C - Azayaka#83352,2-0,,1,,,,,,,,
10/23/2023 18:44:10,Dan A - BEATDOWNBRINGA#04779,Noah B - Sisco#71800,2-0,,1,,,,,,,,
10/23/2023 19:10:06,Richard K - preacher26#59445,Sawyer T - soyboy#35469,2-0,,1,,,,,,,,
10/23/2023 19:38:26,Maranda L - BlackCanary#59791,Philip B - Plipster#75000,2-0,,1,,,,,,,,
10/23/2023 19:43:47,Wei C - Azayaka#83352,Chris R - Sinkwater#27508,2-1,,1,,,,,,,,
10/23/2023 20:18:51,Philip B - Plipster#75000,Jordan M - JMTron#46639,2-1,,1,,,,,,,,
10/23/2023 22:31:06,Philip B - Plipster#75000,Noah B - Sisco#71800,2-0,,1,,,,,,,,
10/23/2023 22:53:29,Philip B - Plipster#75000,Sawyer T - soyboy#35469,2-1,,1,,,,,,,,
10/23/2023 23:14:33,Sylvain T - Iquitos#15484,Chris P - Joker01#66827,2-1,,1,GGS!!!,,,,,,,
10/24/2023 0:11:47,Dan A - BEATDOWNBRINGA#04779,Philip B - Plipster#75000,2-1,,1,,,,,,,,
10/24/2023 14:31:52,Jordan M - JMTron#46639,Dan A - BEATDOWNBRINGA#04779,2-1,,1,,,,,,,,
