Timestamp,Winner Name,Loser Name,Result,Punishment Pack,Pack Generated,Notes,Messaged?,Was this match a Duel?
4/27/2024 16:18:48,Joseph H - Sexcellence#51112,Jordan M - JMTron#46639,2-1,,1,10 life might be a little too low,1,Yes
4/27/2024 16:49:30,Alexis M - Alexsfly#67052,Philip B - Plipster#75000,2-1,,1,,1,No
4/27/2024 16:54:05,Lotte P - Lotte #93345,Cody-Rayce MG - Rayce#56572,2-1,,1,,1,No
4/27/2024 17:09:54,Wesley C - GigaVoltaic#11782,Nick H - JetPilot#02453,2-0,,1,,1,No
4/27/2024 17:10:44,Joseph H - Sexcellence#51112,Cody-Rayce MG - Rayce#56572,2-0,,1,,1,Yes
4/27/2024 17:32:08,Chris R - Sinkwater#27508,Lotte P - Lotte #93345,2-1,,1,,1,No
4/27/2024 17:54:37,Dan A - BEATDOWNBRINGA#04779,Cody-Rayce MG - Rayce#56572,2-0,,1,,1,No
4/27/2024 18:05:21,Lotte P - Lotte #93345,Philip B - Plipster#75000,2-1,,1,,1,No
4/27/2024 19:36:56,Mathieu D - madmat46#11537,Joseph H - Sexcellence#51112,2-0,,1,,1,No
4/27/2024 19:56:48,Mathieu D - madmat46#11537,Chris R - Sinkwater#27508,2-0,,1,,1,No
4/27/2024 21:15:20,Ryan M - rrrn22#32842,Niko G - Thundertnuc#90488,2-1,,1,,1,No
4/27/2024 21:17:08,Nick H - JetPilot#02453,Matt K - KirbyKong#37457,2-1,,1,,1,No
4/27/2024 22:37:18,Rafael F - Prudent#24319,Wei C - Azayaka#83352,2-0,,1,,1,No
4/27/2024 22:48:48,Alexandre GA - AGA#86404,Zach L - Redwood#12970,2-1,,1,,1,No
4/27/2024 23:04:08,Zach L - Redwood#12970,Adam S - wizma#29010,2-0,,1,gg!,1,No
4/28/2024 0:05:41,Ryan M - rrrn22#32842,Steve T - strout#45062,2-1,,1,Amazing match all the way through! ggs,1,No
4/28/2024 0:22:29,Justin P - Code Pigeon#84057,Jeremy E - Lhurgoyf#37289,2-1,,1,,1,No
4/28/2024 0:49:23,Dan H - dan12456#37617,Ryan M - rrrn22#32842,2-0,,1,,1,No
4/28/2024 1:29:19,Jeremy E - Lhurgoyf#37289,Zach L - Redwood#12970,2-1,,1,,1,No
4/28/2024 2:21:21,Paul G - TheDragon#61289,Dirk E - BegginBlue#16667,2-0,,1,,1,Yes
4/28/2024 3:15:52,Dirk E - BegginBlue#16667,Luke G - Juno#19210,2-1,,1,,1,No
4/28/2024 9:36:16,Mathieu D - madmat46#11537,Rafael F - Prudent#24319,2-1,,1,,1,No
4/28/2024 10:18:11,Dan H - dan12456#37617,Paul G - TheDragon#61289,2-1,,1,,1,No
4/28/2024 11:39:38,Ryan M - rrrn22#32842,Matt K - KirbyKong#37457,2-1,,1,,1,No
4/28/2024 11:45:53,Joe T - elasticity#07466,Niko G - Thundertnuc#90488,2-1,,1,,1,No
4/28/2024 12:34:25,Dan H - dan12456#37617,Wyatt C - hotdolphin#30769,2-1,,,,1,No
4/28/2024 12:34:26,Lotte P - Lotte #93345,Emmett F - Sepulchure#51526,2-0,,1,,1,No
4/28/2024 12:38:59,Richard K - preacher26#59445,James Mc - fireball#69952,2-1,,1,,1,No
4/28/2024 12:50:57,Sawyer T - soyboy#35469,Zach L - Redwood#12970,2-0,,1,,1,Yes
4/28/2024 12:53:24,Matt K - KirbyKong#37457,Josh T - jathornton#23245,2-0,,1,,1,No
4/28/2024 13:49:39,Luke G - Juno#19210,Josh T - jathornton#23245,2-1,,1,,1,No
4/28/2024 14:53:21,James M - Sol_Ring#09384,John P - gokuorgohome#51511,2-1,,1,,1,No
4/28/2024 16:08:21,Nicholas K - Bionick#55161,Mike P - UnwieldyBiscuit#26471,2-0,,1,,1,No
4/28/2024 16:33:33,Wyatt C - hotdolphin#30769,Mike P - UnwieldyBiscuit#26471,2-1,,1,,1,No
4/28/2024 16:51:56,Maranda L - BlackCanary#59791,Dave T - RestiveNebula#74573,2-1,,1,,1,No
4/28/2024 18:26:16,Alexandre GA - AGA#86404,Mike P - UnwieldyBiscuit#26471,2-0,,1,,1,No
4/28/2024 19:32:43,Phillip M - Fat_kitty#63794,Emmett F - Sepulchure#51526,2-0,,1,Oko is kinda broken? who knew,1,No
4/28/2024 20:08:08,Rafael F - Prudent#24319,Edgar A - PlayfulTerror#04926,2-0,,1,Always a pleasure. Birds kinda went ham,1,No
4/28/2024 20:40:12,Christian L - xXalpineXx#54284,Niko G - Thundertnuc#90488,2-0,,1,,1,No
4/28/2024 21:01:49,Shuo L - Tamamo#30654,Alexis R - Lexabombtastic#98940,2-0,,1,,1,No
4/28/2024 21:28:48,Mathieu L - Wayl0n#81231,Nick W - Wheelo#89557,2-1,,1,,1,No
4/28/2024 21:52:51,Adam S - wizma#29010,Nick H - JetPilot#02453,2-0,,1,Great games! Welcome to the League!,1,No
4/28/2024 22:39:56,Reed P - bigfingsnake#86869,Julian K - Citizen_Snippies#31245,2-0,,1,,1,No
4/28/2024 23:02:50,Maranda L - BlackCanary#59791,Preston B - Vorbis#46420,2-0,,1,,1,No
4/28/2024 23:09:20,Joaquin E - DiabolicMachine#23891,Adam S - wizma#29010,2-1,,1,,1,No
4/28/2024 23:19:54,Sean Sp - Talrand#06333,Mike P - UnwieldyBiscuit#26471,2-1,,1,,1,Yes
4/28/2024 23:22:26,Reed P - bigfingsnake#86869,Alexis R - Lexabombtastic#98940,2-1,,1,,1,No
4/28/2024 23:35:34,Julian K - Citizen_Snippies#31245,Emmett F - Sepulchure#51526,2-0,,1,,1,No
4/29/2024 0:31:11,Evan L - Evan#97713,Sean Sp - Talrand#06333,2-1,,1,,1,No
4/29/2024 10:16:16,Daniel G - FriskyHobbit#43185,Dirk E - BegginBlue#16667,2-1,,1,,1,No
4/29/2024 11:58:51,Richard K - preacher26#59445,Phillip M - Fat_kitty#63794,2-1,,1,,1,No
4/29/2024 12:41:30,Eric S - smitte#94855,Joaquin E - DiabolicMachine#23891,2-0,,1,,1,No
4/29/2024 13:25:55,Eric S - smitte#94855,Phillip M - Fat_kitty#63794,2-1,,1,,1,No
4/29/2024 14:37:02,Eric S - smitte#94855,Danny S - Scout_#06819,2-1,,1,,1,No
4/29/2024 15:33:35,Eric S - smitte#94855,John R - Ged#72302,2-0,,1,,1,No
4/29/2024 16:31:59,Dirk E - BegginBlue#16667,John R - Ged#72302,2-1,,1,GGs,1,No
4/29/2024 16:42:07,Daniel G - FriskyHobbit#43185,Nick H - JetPilot#02453,2-0,,1,,1,No
4/29/2024 16:50:54,Dave T - RestiveNebula#74573,Danny S - Scout_#06819,2-0,,1,,1,No
4/29/2024 17:03:40,Philip B - Plipster#75000,Eric S - smitte#94855,2-1,,1,,1,No
4/29/2024 17:17:48,Jordan M - JMTron#46639,Wei C - Azayaka#83352,2-0,,1,,1,Yes
