Timestamp,Winner Name,Loser Name,Result,Punishment Pack,Pack Generated,Notes,Punishment Pack,,Winner Colour Pair,Loser Colour Pair,Punishment Pack,,Punishment Pack choice?
9/10/2023 13:45:56,Thijn H - Thi-Jin#83537,Philip B - Plipster#75000,2-1,,1,,WOE,,,,,,
9/10/2023 14:49:29,Nick L - NextLevelNick#79827,Joaquin E - DiabolicMachine#23891,2-1,,1,,MOM,,,,,,
9/10/2023 14:54:40,Richard K - preacher26#59445,Vera L - zhanidias#55352,2-0,,1,,WOE,,,,,,
9/10/2023 15:06:54,Nick L - NextLevelNick#79827,Adam S - wizma#29010,2-0,,1,,MOM,,,,,,
9/10/2023 15:18:52,John P - gokuorgohome#51511,Jon M - It'sMagic#46950,2-1,,1,,WOE,,,,,,
9/10/2023 15:24:28,Steve T - strout#45062,Bob P - HIT#08120,2-1,,1,GGs!,MOM,,,,,,
9/10/2023 15:45:10,John P - gokuorgohome#51511,Vera L - zhanidias#55352,2-1,,1,,WOE,,,,,,
9/10/2023 15:48:12,Caleb K - BlackEcho#09078,Sawyer T - soyboy#35469,2-1,,1,,MOM,,,,,,
9/10/2023 17:30:25,Jacob V - Drysle#29533,Tony G - YnotRock#76764,2-1,,1,,ELD,,,,,,
9/10/2023 18:20:25,Jacob V - Drysle#29533,Thijn H - Thi-Jin#83537,2-1,,1,,WOE,,,,,,
9/10/2023 18:44:35,Emmett F - Sepulchure#51526,Shuo L - tamamo#30654,2-0,,1,,WOE,,,,,,
9/10/2023 19:24:37,Jeremy E - Lhurgoyf#37289,Shuo L - tamamo#30654,2-1,,1,,WOE,,,,,,
9/10/2023 20:05:10,Russell S - rstad#89052,Mitchel S - SpaghettiMitch#18619,2-1,,1,,MOM,,,,,,
9/10/2023 20:38:42,Maranda L - BlackCanary#59791,Joaquin E - DiabolicMachine#23891,2-1,,1,,WOE,,,,,,
9/10/2023 21:13:57,John P - gokuorgohome#51511,Maranda L - BlackCanary#59791,2-0,,1,,WOE,,,,,,
