Timestamp,Winner Name,Loser Name,Result,Punishment Pack,Pack Generated,Notes,Messaged?
6/17/2024 17:46:01,Adam S - wizma#29010,Nicholas K - Bionick#55161,2-0,,1,Great games!,
6/17/2024 17:58:21,Evan C - PeasOfCrab#00133,Sylvain T - Iquitos#15484,2-0,,1,,
6/17/2024 18:41:35,Johnny M - Johnny#69519,Christian L - xXAlpineXx#54284,2-1,,1,,
6/17/2024 18:45:50,Nicholas K - Bionick#55161,Curtis K - Oblivion#40925,2-0,,1,,
6/17/2024 19:17:04,Isaak W - Belern#84813,Curtis K - Oblivion#40925,2-0,,1,ggs,
6/17/2024 19:19:22,Christopher S - Stemz#96067,Nick W - Wheelo#89557,2-1,,1,gg,
6/17/2024 19:33:10,Miguel B - Ethereus#60108,Alexis M - Alexsfly#67052,2-1,,1,GGs!,
6/17/2024 19:36:53,Christian L - xXAlpineXx#54284,Aaron A - Eclipse2470#03650,2-0,,1,,
6/17/2024 19:52:18,Isaak W - Belern#84813,Carlos V - ShuntStub#78198,2-1,,1,Great games,
6/17/2024 20:01:55,Dirk E - BegginBlue#16667,Ryan M - rrrn22#32842,2-1,,1,,
6/17/2024 20:59:24,Evan C - PeasOfCrab#00133,Christopher G - oompaloompa#65002,2-1,,1,,
6/17/2024 21:13:53,Aaron B - Bevelman#18220,Ryan D - TheSlickness#10857,2-0,,1,,
6/17/2024 21:30:28,Sawyer T - soyboy#35469,Isaak W - Belern#84813,2-0,,1,,
6/17/2024 21:42:23,Miguel B - Ethereus#60108,Nick W - Wheelo#89557,2-1,,1,GGs!,
6/17/2024 22:12:55,Isaak W - Belern#84813,Evan C - PeasOfCrab#00133,2-1,,1,crazy finish,
6/17/2024 22:41:24,Joaquin E - DiabolicMachine#23891,Jeremy E - Lhurgoyf#37289,2-1,,1,,
6/17/2024 22:46:56,Joseph H - Sexcellence#51112,Ron C - Lennor#52740,2-1,,1,,
6/17/2024 22:47:53,DeWitt K - SeethingOctopus#02129,Isaak W - Belern#84813,2-0,,1,ggs,
6/17/2024 22:58:16,Jack H - Rakic#98298,Dan A - BEATDOWNBRINGA#04779,2-0,,1,,
6/17/2024 23:57:38,Preston B - Vorbis#46420,Julian K - Citizen_Snippies#31245,2-1,,1,,
6/18/2024 0:14:31,Dan H - dan12456#37617,Matt K - KirbyKong#37457,2-0,,1,,
6/18/2024 0:56:46,Evan C - PeasOfCrab#00133,Caleb K - BlackEcho#09078,2-0,,1,,
6/18/2024 1:55:51,Evan C - PeasOfCrab#00133,Shuo L - Tamamo#30654,2-1,,1,,
6/18/2024 9:26:20,Tony G - YnotRock#76764,Kevin I - kni1993#29285,2-0,,1,,
6/18/2024 10:19:26,Matt K - KirbyKong#37457,Nik S - njsiii#50504,2-0,,1,,
6/18/2024 10:34:39,Nik S - njsiii#50504,Kevin I - kni1993#29285,2-0,,1,,
6/18/2024 12:15:30,Avery JB - Averyoftheelves#92950,Nik S - njsiii#50504,2-1,,1,,
6/18/2024 13:35:49,Duncan M - RobRoyDuncan#16652,Mike N - Gosu#85506,2-0,,1,,
6/18/2024 15:08:55,Duncan M - RobRoyDuncan#16652,Wei C - Azayaka#83352,2-0,,1,,
6/18/2024 15:31:29,Richard K - preacher26#59445,Lotte P - Lotte #93345,2-0,,1,,
6/18/2024 16:15:03,Daniel H - Cosmonaught#43147,Justin P - Code Pigeon#84057,2-0,,1,,
6/18/2024 16:26:36,Tom M - TomSoniQ#28649,Wei C - Azayaka#83352,2-1,,1,,
6/18/2024 17:17:38,Justin P - Code Pigeon#84057,Christian L - xXAlpineXx#54284,2-1,,1,,
6/18/2024 17:33:11,Mike N - Gosu#85506,Daniel G - FriskyHobbit#43185,2-1,,1,gg,
6/18/2024 17:37:24,Jondrion J - jondrion#40531,Bryan G - Fedaykin98#12204,2-0,,1,,
6/18/2024 17:49:52,Joaquin E - DiabolicMachine#23891,Justin P - Code Pigeon#84057,2-0,,1,,
6/18/2024 18:30:56,Jaidin M - MnemonicDevice#38774,Bryan G - Fedaykin98#12204,2-1,,1,close games!,
6/18/2024 19:25:22,Mike N - Gosu#85506,Jaidin M - MnemonicDevice#38774,2-1,,1,ggwp,
6/18/2024 19:43:58,Jack H - Rakic#98298,Jo H - JoCool#84350,2-0,,1,,
6/18/2024 20:16:18,Wei C - Azayaka#83352,Jon B - Jbuckeye#49321,2-0,,1,,
6/18/2024 20:31:11,Adam S - wizma#29010,Jo H - JoCool#84350,2-0,,1,Good games! Siege gang represent!,
6/18/2024 20:50:13,Max B - baymillionaire#63544,Wei C - Azayaka#83352,2-0,,1,,
6/18/2024 21:09:14,Blake R - Trogdorr#20061,Jo H - JoCool#84350,2-0,,1,,
6/18/2024 21:14:01,Aaron B - Bevelman#18220,James T - RevisedIsland#19780,2-0,,1,ggs!,
6/18/2024 21:23:47,Joe T - elasticity#07466,Peter B - Celsius232#44031,2-0,,1,,
6/18/2024 21:28:09,Adam S - wizma#29010,Jon B - Jbuckeye#49321,2-0,,1,Great games! Sorry about the 15/15 flying lifelink vigilant trampler!,
6/18/2024 22:28:23,Joaquin E - DiabolicMachine#23891,Joe T - elasticity#07466,2-1,,1,,
6/18/2024 23:45:53,Matthew G - Wolfeye#03170,Preston B - Vorbis#46420,2-1,,1,,
6/18/2024 23:50:09,Chris O - Chriso91#46230,Christopher G - oompaloompa#65002,2-1,,1,,
6/19/2024 0:22:32,Matthew G - Wolfeye#03170,Zach L - Redwood#12970,2-0,,1,,
6/19/2024 0:44:43,Justin P - Code Pigeon#84057,James M - Sol_Ring#09384,2-0,,1,,
6/19/2024 12:24:26,Avery JB - Averyoftheelves#92950,Chris O - Chriso91#46230,2-1,,1,,
6/19/2024 14:50:47,Alex S - Nicol Bolas#02755,Lotte P - Lotte #93345,2-0,,1,,
6/19/2024 14:56:22,Richard K - preacher26#59445,Duncan M - RobRoyDuncan#16652,2-1,,1,,
6/19/2024 15:15:19,Alex S - Nicol Bolas#02755,Daniel H - Cosmonaught#43147,2-0,,1,,
6/19/2024 15:16:53,Nadir C - Diddy#38922,Archie B - archiebaker#44712,2-0,,1,ggs!,
6/19/2024 16:51:09,Jondrion J - jondrion#40531,Archie B - archiebaker#44712,2-1,,1,,
6/19/2024 18:37:16,Miguel B - Ethereus#60108,Paul S - YungChunk#45977,2-0,,1,GGs!,
6/19/2024 18:58:46,Michael M - Atombomb11991#07305,Curtis K - Oblivion#40925,2-1,,1,,
6/19/2024 19:51:14,Paul S - YungChunk#45977,Michael M - Atombomb11991#07305,2-1,,1,ggs!,
6/19/2024 20:20:01,Christopher G - oompaloompa#65002,Chris R - Sinkwater#27508,2-1,,1,,
6/19/2024 20:42:49,Christopher G - oompaloompa#65002,Edgar A - PlayfulTerror#04926,2-1,,1,,
6/19/2024 21:05:24,Mitchel S - SpaghettiMitch#18619,Max B - baymillionaire#63544,2-1,,1,,
6/19/2024 21:09:32,Chris R - Sinkwater#27508,Curtis K - Oblivion#40925,2-0,,1,,
6/19/2024 21:25:34,James T - RevisedIsland#19780,Wei C - Azayaka#83352,2-1,,1,,
6/19/2024 21:49:32,James Mc - Fireball#69952,James M - Sol_Ring#09384,2-1,,1,,
6/19/2024 21:53:40,Mitchel S - SpaghettiMitch#18619,Shuo L - Tamamo#30654,2-0,,1,,
6/19/2024 22:07:24,Matthew G - Wolfeye#03170,James T - RevisedIsland#19780,2-0,,1,,
6/19/2024 22:20:52,Caleb K - BlackEcho#09078,Edgar A - PlayfulTerror#04926,2-0,,1,ggs,
6/19/2024 22:48:55,Joaquin E - DiabolicMachine#23891,Dan H - dan12456#37617,2-1,,1,,
6/19/2024 22:53:43,Dan A - BEATDOWNBRINGA#04779,Chris R - Sinkwater#27508,2-1,,1,,
6/19/2024 22:54:57,Matthew G - Wolfeye#03170,Josh T - jathornton#23245,2-0,,1,,
6/19/2024 23:37:21,Dan A - BEATDOWNBRINGA#04779,Josh T - jathornton#23245,2-1,,1,,
6/19/2024 23:40:38,Daniel G - FriskyHobbit#43185,Steve T - strout#45062,2-1,,1,,
6/20/2024 0:06:01,Edgar A - PlayfulTerror#04926,Andrew M - Robespierre#01976,2-1,,1,ggs,
6/20/2024 0:19:14,Preston B - Vorbis#46420,Felipe C - Khirgh#61921,2-1,,1,,
6/20/2024 0:40:47,Daniel G - FriskyHobbit#43185,Daniel S - Obitus#54120,2-0,,1,,
6/20/2024 0:41:31,Edgar A - PlayfulTerror#04926,Mike V - Lostinthewarp#09717,2-1,,1,ggs,
6/20/2024 1:01:34,Dan H - dan12456#37617,Andrew M - Robespierre#01976,2-1,,1,,
6/20/2024 11:54:27,Enrique O - Caex#39549,Mike N - Gosu#85506,2-1,,1,,
6/20/2024 12:40:57,Matt F - MadeMyBus#92429,Joe T - elasticity#07466,2-0,,1,,
6/20/2024 13:36:43,Richard K - preacher26#59445,Joe T - elasticity#07466,2-0,,1,,
6/20/2024 13:54:06,Joe G - AardvarkKing #40712,Mike N - Gosu#85506,2-1,,1,,
6/20/2024 14:27:30,Matt F - MadeMyBus#92429,Joe G - AardvarkKing #40712,2-1,,1,,
6/20/2024 14:46:07,Paul S - YungChunk#45977,Joe T - elasticity#07466,2-1,,1,ggs,
6/20/2024 15:04:21,Matt F - MadeMyBus#92429,Nadir C - Diddy#38922,2-0,,1,,
6/20/2024 15:06:08,Mitchel S - SpaghettiMitch#18619,Tom M - TomSoniQ#28649,2-0,,1,,
6/20/2024 15:15:28,Archie B - archiebaker#44712,Peter B - Celsius232#44031,2-1,,1,Fun games :D,
6/20/2024 17:23:54,Enrique O - Caex#39549,Quill M - Nocnoc#13791,2-1,,1,,
6/20/2024 18:06:59,Thijn H - Thi-Jin#83537,Quill M - Nocnoc#13791,2-1,,1,,
6/20/2024 18:32:17,Matt F - MadeMyBus#92429,Bryan G - Fedaykin98#12204,2-0,,1,,
