Timestamp,Winner Name,Loser Name,Result,Punishment Pack,Pack Generated,Notes,Punishment Pack - must be ONE for Compleated players,,Punishment Pack choice?
2/19/2023 22:15:53,Mike P - UnwieldyBiscuit#26471,Nicholas K - Bionick#55161,2-0,,1,GG,NEO,,
2/19/2023 22:24:22,Nik S - njsiii#50504,Pierre-Marc D - pmduguay#67919,2-1,,1,,ONE,,
2/19/2023 22:54:37,Russell S - rstad#89052,Sawyer T - soyboy#35469,2-1,,1,,VOW,,
2/19/2023 23:02:35,Pierre-Marc D - pmduguay#67919,Nicholas K - Bionick#55161,2-1,,1,,NEO,,
2/19/2023 23:39:21,Nicholas K - Bionick#55161,Daniel G - FriskyHobbit#43185,2-1,,1,,VOW,,
2/19/2023 23:46:58,Pierre-Marc D - pmduguay#67919,Rafael F - Prudent#24319,2-1,,1,,ONE,,
2/19/2023 23:56:06,Jaidin M - MnemonicDevice#38774,Tim M - Ancra#27039,2-0,,1,,NEO,,
2/20/2023 0:32:54,Ryan D - TheSlickness#10857,Pierre-Marc D - pmduguay#67919,2-1,,1,,VOW,,
2/20/2023 0:58:55,Shuo L - Tamamo#30654,Trevor F - treskies#75643,2-0,,1,,ONE,,
2/20/2023 1:10:51,Rafael F - Prudent#24319,Ryan D - TheSlickness#10857,2-1,,1,,ONE,,
2/20/2023 1:38:01,Noah B - Sisco#71800,Maranda L - BlackCanary#59791,2-1,,1,Close games,ONE,,
2/20/2023 11:59:11,Eric S - Smitte#94855,Rafael F - Prudent#24319,2-1,,1,,ONE,,
2/20/2023 12:47:45,Rafael F - Prudent#24319,Caleb G - Whynaut#28590,2-1,,1,,BRO,,
2/20/2023 13:33:59,Christopher S - Stemz#96067,Jaidin M - MnemonicDevice#38774,2-0,,1,gg,ONE,,
2/20/2023 13:57:34,Mike B - Xenomorph#62228,Audi J - Squeakz#38671,2-0,,1,,MID,,
2/20/2023 14:24:14,Christopher S - Stemz#96067,Krzys H - FaceBeardMcBeard#24731,2-0,,1,gg,ONE,,
2/20/2023 16:51:41,Dennis K - Mazamune#87737,Audi J - Squeakz#38671,2-1,,1,corrected match results ,ONE,,
2/20/2023 17:16:52,Patrick M - FullestJ#22936,Raghu B - midnitfalcon#19670,2-1,,1,,ONE,,
2/20/2023 19:39:31,Johnny M - Johnny#69519,Tim M - Ancra#27039,2-1,,1,,NEO,,
2/20/2023 19:47:34,Chris P - Joker01#66827,Shane K - Malfunktion#31013,2-1,,1,,ONE,,
2/20/2023 20:08:39,Jordan M - JMTron#46639,James T - RevisedIsland#19780,2-0,,1,,ONE,,
2/20/2023 20:42:07,Chris R - Sinkwater#27508,James T - RevisedIsland#19780,2-0,,1,,BRO,,
2/20/2023 21:30:02,John R - Ged#72302,Adam S - Wizma#29010,2-1,,1,ggs!,ONE,,
2/20/2023 21:49:11,Jaidin M - MnemonicDevice#38774,James T - RevisedIsland#19780,2-1,,1,close games!,BRO,,
2/20/2023 22:41:11,Emmett F - Sepulchure#51526,Maranda L - BlackCanary#59791,2-1,,1,,ONE,,
2/20/2023 23:29:33,Patrick M - FullestJ#22936,Ryan D - TheSlickness#10857,2-1,,1,,ONE,,
2/20/2023 23:37:32,Noah B - Sisco#71800,Benson P - sick beak#62405,2-1,,1,,ONE,,
2/20/2023 23:59:12,Noah B - Sisco#71800,Zeke W - smarmyplatapus#30066,2-0,,1,,ONE,,
2/21/2023 0:38:40,Maranda L - BlackCanary#59791,Patrick M - FullestJ#22936,2-1,,1,,ONE,,
2/21/2023 16:58:27,Shane K - Malfunktion#31013,Raghu B - midnitfalcon#19670,2-1,,1,,ONE,,
2/21/2023 17:26:52,Jaidin M - MnemonicDevice#38774,Xander B - Loudnes#53855,2-1,,1,,ONE,,
2/21/2023 17:31:49,Jesse R - Zephaer#38941,Amir A - HowDoesOneChoose#47480,2-0,,1,Embrace the oil!,ONE,,
2/21/2023 18:03:33,Emmett F - Sepulchure#51526,Xander B - Loudnes#53855,2-1,,1,,ONE,,
2/21/2023 18:33:32,Chris R - Sinkwater#27508,Damian S - ButCrackMagic#71223,2-1,,1,,ONE,,
